"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ACCENL54","book","1972","Artel, Jorge","Poemas con botas y banderas","","","","","","","1972","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Ed. Mejoras","Barranquilla, Colombia","spa","","","","","https://www.worldcat.org/title/poemas-con-botas-y-banderas/oclc/253425662&referer=brief_results","","Colombia","<div data-schema-version=""8""><p style=""padding-left: 40px"" data-indent=""1"">Poemas</p> <p>escritos con lágrimas</p> <p>de un niño sin pan;</p> <p>con las manos podridas de un soldado</p> <p>que no volvió de la guerra;</p> <p>con el rencor de un negro</p> <p>linchado por las turbas del Sur;</p> <p>con las palabras de un obrero</p> <p>y la angustia de una patria encadenada,</p> <p>cumplid vuestro destino de los hombres:</p> <p>prendidos de sus labios,</p> <p>con el pulso de sus corazones,</p> <p>marcando el ritmo igual y firme de sus pasos,</p> <p>hacia la libertad.</p> </div>","/home/febres/Zotero/storage/NSYNJECK/portadas_4-22-2022_poemas-botas.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RP3XL88","book","1912","Batrell, Ricardo","Para la historia: apuntes autobiográficos de la vida de Ricardo Batrell Oviedo","","","","","https://catalog.hathitrust.org/Record/008585294","","1912","2025-04-10 21:53:54","2025-07-03 21:07:41","2022-03-21 20:47:43","","179, [1] p., 2 ¡.","","","","","","","","","","Seoane y Alvarez, Impresores","La Habana","spa","","","HathiTrust","http://hathitrust.org","https://www.worldcat.org/title/black-soldiers-story-the-narrative-of-ricardo-batrell-and-the-cuban-war-of-independence/oclc/617508704","","Cuba","<div data-schema-version=""8""><p>Estuvimos cuatro horas acampados y hacíamos de comer al mismo tiempo, que recibíamos el tesoro más codiciado del sol dado patriota: (municiones), y á más de la que pudiera llevar cada jinete para su necesidad de combatir, se le hizo responsa ble de una caja de mil tiros, á cada uno, sin que pudiera pretextar nadie, que el caballo estaba cansado, porque al que alegaba eso le contestaba la superioridad, que cuando el caballo<br>no pudiera se la echara al hombro.</p> </div>","/home/febres/Zotero/storage/9BM6IVDN/33433067340814-seq_7.jpg","","","1895-1898; Cuba; History; Revolution","","","","","","","","","","","","","","","","","","","","1912","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P9HCHCW","book","2010","Bustos Aguirre, Rómulo","Obra poética","","","","","https://ia804604.us.archive.org/33/items/obra-poetica-romulo-bustos-aguirre/Obra%20po%C3%A9tica%20-%20R%C3%B3mulo%20Bustos%20Aguirre.pdf","","2010","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Ministerio de Cultura","Bogotá","spa","","","Biblioteca Virtual del Banco de la República","https://babel.banrepcultural.org/","https://www.worldcat.org/title/obra-poetica/oclc/991670307&referer=brief_results","","Colombia","<div data-schema-version=""8""><p>Arrastra sus alas de ángel sonámbulo</p> <p>como quien busca una puerta entre largos corredores</p> <p>Triste de sí</p> <p>Pulsando inútil las cuerdas más dulces</p> <p>de mi alma</p> <p>Quizás me existiera desde siempre</p> <p>¿De qué ancho cielo habrá venido este huésped que no conozco?</p> </div>","/home/febres/Zotero/storage/BGX8DCVZ/obra-poetica-romulo-bustos.jpg","","","","","","","","","","","","","","","","","","","","","","","2010","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VS7S8RUD","book","1979","Artel, Jorge","No es la muerte es el morir.","","","","","","","1979","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Creset","Bogotá","spa","","","","","https://www.worldcat.org/title/no-es-la-muerte-es-el-morir/oclc/778071674&referer=brief_results","","Colombia","<div data-schema-version=""8""><p>Cerca de diez minutos estuvieron tableteando las metralletas. Por respuesta, silencio hostil en el monte. De modo repentino, una lluvia de valas desgajóse sobre los soldados, que se parapeteaban entre las peñas y algunos montículos. El contra-ataque fue tan sorpresivo que aquellos no tuvieron tiempo de dar cara al asalto. En el arroyo parece haber quedado toda la sengre del mundo.</p> <p>- Bueno, muchachos, escúllquenlos, recojan las armas y vámonos. ¡Rápido!</p> <p>Con sumetralleta aún caliente, el hombre joven que hubo dado la orden pasó un vistazo frío sobre el pelotón de muertos.</p> </div>","/home/febres/Zotero/storage/S6G6AKIU/no-es-la-muerte.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8D4Y3Y93","book","1996","Cuti, Luiz Silva","Negros em contos","","978-85-7160-078-2","","","","","1996","2025-04-10 21:53:54","2025-07-03 21:06:32","","","","","","","","","","","","","Mazza","Belo Horizonte, Brasil","pt","","","","","https://www.worldcat.org/title/negros-em-contos/oclc/469748490&referer=brief_results","","Brasil","<div data-schema-version=""8""><p>Se o dia for bom, ainda sobrará para as balas e um maço de cigarros.</p> <p>Faz frio e a blusa que a mãe recebeu na casa da patroa não lhe aquece bem a magreza. No estômago, pão e café puros torcem-se.</p> <p>Força o calcanhar. O carrinho vai parando. A roda dianteira no ar, suspensa, gira livremente. Segue a Avenida Corifeu de Azevedo Marques,</p> <p>interrompida por escavações para saneamento básico. Entre buracos e montes esparsos de terra e asfalto destruído, empurra, sustentando as alças de madeira,</p> <p>que rolimãs sem asfalto não deslizam. Pés descalços, ele vai com a esperança de conseguir trabalho. Sente-se adulto aos 13 anos. Pensa na doença do irmão.</p> <p>Está resoluto: “Vou conseguir o remédio.”</p> </div>","/home/febres/Zotero/storage/JBTAA5RJ/Negros em contos, portada del libro escrito por Luiz Silva, Cuti.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF47G295","book","1983","Alves, Miriam Aparecida","Momentos de busca: poemas","","","","","","","1983","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Copidart","São Paulo","pt","","","","","https://www.worldcat.org/title/momentos-de-busca-poemas/oclc/253929994&referer=brief_results","","Brasil","<div data-schema-version=""8""><p>Gostaria de concluir tudo aquilo</p> <p>que meus olhos veem</p> <p>nao conseguem enxergar</p> <p>As palavras que interpolam no lábios</p> <p>nao se soltan</p> <p>O riso solto fere os sentidos</p> <p>As manos querem agarrar</p> <p>o noturno</p> <p>Os cabelos sensíveis tocam fundo</p> <p>Os pés alisando a areia molhada</p> <p>arrepiando o corpo a cada passo</p> <p>Os passos dirigindo-se as águas</p> <p>salgadas</p> <p>O sol a água banhando-me</p> <p>os olhos fechados para nao verem</p> <p>os morros verdes</p> <p>escurecendo</p> <p>tomando formas incertas</p> <p>tentadores da noite.</p> <p>Noite completando o meu sonho</p> <p>lua embacando a o vidro de minha razáo</p> <p>Razáo de sentir um único desejo</p> <p>desejo adulto forte</p> <p>bom solto</p> <p>quase completo</p> <p>O rostro sorrindo</p> <p>esvaindo-se prezeirosa sensacao</p> <p>areia, mulher, luar, sorriso</p> <p>completano o inevitável</p> <p>natureza seguindo seu curso</p> <p>mar...</p> <p>Mulher cumprindo seu curso</p> <p>Vida...</p> </div>","/home/febres/Zotero/storage/7R4PFAS8/Momentos-de-busca.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJY27MTR","book","2013","Chagas, Jorge","La sombra: la novela de Ansina","","978-9974-651-59-3","","","","","2013","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","La sombra","","","","","Rumbo Editorial","Montevideo","spa","","","","","https://www.worldcat.org/title/sombra-la-novela-de-ansina/oclc/876713812&referer=brief_results","","Uruguay","<div data-schema-version=""8""><p>¿Qué dirán de mí, cuando ya no esté, cuando mis huesos se hayan vuelto polvo?</p> <p>¿Qué crímenes y atropellos me achacarán?</p> <p>¿Cómo seré recordado?</p> <p>Esclavo retobado y desagradecido que no respetó a sus amos, un mal nacido, hombre de las más oscura condición y clase baja, secuaz de un caudillo tiránico y sanguinario, renegado, traidor a la Corona, blasfemo, hereje, canalla, criminal que cometió actos abominables en nombre de la revolución federal, siervo del llamado Atila de las Provincias Unidas que fue obsecuente con él hasta el infortunio, chúcaro, fornicador de yeguas, acaso sodomita. sacrílego, vil, disoluto, renegado, apátrida, desgraciado, bufo, salvaje, vulgar, infame que no respetó la autoridad ni el orden establecido, ¡un tupamaro! o tal vez, simplemente, el Negro Ansina, sin rostro y sin voz</p> </div>","/home/febres/Zotero/storage/7U34C4FI/alsina.jpg","","","","","","","","","","","","","","","","","","","","","","","2013","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IH7I3JNR","book","1994","Chiriboga, Luz Argentina","Jonatás y Manuela","","","","","","","1994","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","fc","","","Abrapalabra Editores","Quito","es","","","","","https://search-worldcat-org.proxy.library.nd.edu/title/jonatas-y-manuela/oclc/32358701+","","Ecuador","<div data-schema-version=""8""><p>Le invadió una ráfaga de angustia, pero algo que le andaba por las venas y no podía apartarlo, le afloró de pronto. Clavó los ojos en sus ojos, los vio brillantes, expresivos, gozosos; sonrió, el espejo retrató sus dientes blancos; ah, aquellas trenzas terminadas en canutos de colores la volvían atractiva; no, no soy tan fea. Al despedirse del espejo, llevó la convicción de que era bonita, que Changó sea contigo, musitó y fue a golpear el dormitorio de sus amas.</p> </div>","/home/febres/Zotero/storage/8HWDK2KI/jonatas-manuela.jpg","","","","","","","","","","","","","","","","","","","","","","","1994","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LI7X5UTS","book","1971","Duncan, Quince","Hombres curtidos","","","","","","","1971","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Cuadernos de Arte Popular","San Jose, Costa Rica","eng","","","","","https://www.worldcat.org/title/hombres-curtidos/oclc/894427244&referer=brief_results","","Costa Rica","<div data-schema-version=""8""><p>Mi esposa contempla el caserío en silencio. Se le ve en los ojos que aún duda sobre la causa de mi retorno. Nadie lo sabe, tal vez ni yo mismo lo sé.</p> <p>Los amigos de la capital no me perdonarán nunca el haber dejado la gran ciudad, la vida rápida de la élite artística que nuestra generación trata de crear. Los discursos sobre el ultra-literatura, arte, el servicio del hombre, todo, todo eso y las otras cosas que la vida urbana involucra.</p> </div>","/home/febres/Zotero/storage/38BRDQYY/hombres-curtidos.jpg","","","","","","","","","","","","","","","","","","","","","","","1971","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEREH7UN","book","1959","Beleño C., Joaquín","Gamboa road gang: (los forzados de Gamboa)","","","","","","","1959","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","Gamboa road gang","","","","","Ministerio de Educación, Departamento de Bellas Artes y Publicaciones","Ciudad de Panamá","spa","","","","","https://www.worldcat.org/title/gamboa-road-gang-los-forzados-de-gamboa/oclc/912933448?referer=br&ht=edition","","Panamá","<div data-schema-version=""8""><p>La carretera es el cementerio porque aun sus arenas están hechas de los huesos roídos por las olas de todos los peces que viajaron por las profundidades marinas y reposaron largo tiempo en el polvo calcáreo de la orilla.</p> <p>Para unos, la carretera es la civilización y el progreso, para mí es el sepulcro donde claudica para siempre el hambre voraz de toda esta fauna que sale de las montañas para enfrentarse a la civilización moderna. Es la culebra, de movimiento peristáltico y la colibrí de nervioso aletear. Es el hombre y el perro. Y si ello es así, ¿quién soy yo para desafiar con mis lentos movimientos el curso de los vehículos? ¿Quién soy yo para osar cruzar este sólido cementerio en donde todos los dpias mueren miles y miles de seres? Mueren tiernos celebrados por todos los gallotes que giran en el cielo.</p> </div>","/home/febres/Zotero/storage/2UHT8YPS/gamboa.jpg","","","","","","","","","","","","","","","","","","","","","","","1959","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5B9G3UQP","book","2006","Chiriboga, Luz Argentina","Este mundo no es de las feas: cuentos","","978-9978-49-569-8","","","","","2006","2025-04-10 21:53:54","2025-07-10 14:30:39","","","","","","","","Este mundo no es de las feas","","","","","Libresa","Quito","spa","","","","","https://search.worldcat.org/en/title/370471932","","Ecuador","<div data-schema-version=""8""><p>Al subir, lo primero que notó fue que algunos pasajeros tenían el cabello húmedo y olían a jabón barato, como si recién hubieran salidos de bañarse; otros lucían sus uniformes de trabajo; y los rostros de todos delataban nerviosismo por llegar puntuales a sus empleos. El pasajero que iba a su lado leía el diario, concentrado en una nota que hacía referencia al atentado de las torres en Nueva York. Erema frunció el entrecejo. A diferencia de los días anteriores, necesitaba llegar puntual a la oficina, debía estar lista para recibir al representante del circo y adquirir boletos para los empleados de su sección. Vestía un terno estilo sastre color café, cuya falda le daba a los tobillos, y zapatos de tacones bajos de cuero de culebra, que parecían del tiempo de la abuela. Era su forma de vestir. No advertía que la moda había cambiado y lucía más edad de la que tenía, sus veintiocho parecían treinta y ocho.</p> </div>","/home/febres/Zotero/storage/YYUPAI2P/mundofeas.jpg","","","","","","","","","","","","","","","","","","","","","","","2006","","","","","","","","","","","","","","","","","","","","","","","","","",""
